hospital_id,date,total_discharges
HHN-BIR-01,2024-03-29,35
HHN-BIR-01,2024-03-30,41
HHN-BIR-01,2024-03-31,21
HHN-BIR-01,2024-04-01,26
HHN-BIR-01,2024-04-02,32
HHN-BIR-01,2024-04-03,23
HHN-BIR-01,2024-04-04,28
HHN-BIR-01,2024-04-05,36
HHN-BIR-01,2024-04-06,37
HHN-BIR-01,2024-04-07,33
HHN-BIR-01,2024-04-08,41
HHN-BIR-01,2024-04-09,37
HHN-BIR-01,2024-04-10,43
HHN-BIR-01,2024-04-11,34
HHN-BIR-01,2024-04-12,39
HHN-BIR-01,2024-04-13,30
HHN-BIR-01,2024-04-14,25
HHN-BIR-01,2024-04-15,22
HHN-BIR-01,2024-04-16,27
HHN-BIR-01,2024-04-17,19
HHN-BIR-01,2024-04-18,27
HHN-BIR-01,2024-04-19,33
HHN-BIR-01,2024-04-20,29
HHN-BIR-01,2024-04-21,26
HHN-BIR-01,2024-04-22,25
HHN-BIR-01,2024-04-23,19
HHN-BIR-01,2024-04-24,33
HHN-BIR-01,2024-04-25,30
HHN-BIR-01,2024-04-26,30
HHN-BIR-01,2024-04-27,29
HHN-BIR-01,2024-04-28,39
HHN-BIR-01,2024-04-29,35
HHN-BIR-01,2024-04-30,48
HHN-BIR-01,2024-05-01,34
HHN-BIR-01,2024-05-02,38
HHN-BIR-01,2024-05-03,31
HHN-BIR-01,2024-05-04,37
HHN-BIR-01,2024-05-05,19
HHN-BIR-01,2024-05-06,31
HHN-BIR-01,2024-05-07,27
HHN-BIR-01,2024-05-08,40
HHN-BIR-01,2024-05-09,40
HHN-BIR-01,2024-05-10,34
HHN-BIR-01,2024-05-11,23
HHN-BIR-01,2024-05-12,22
HHN-BIR-01,2024-05-13,25
HHN-BIR-01,2024-05-14,21
HHN-BIR-01,2024-05-15,28
HHN-BIR-01,2024-05-16,24
HHN-BIR-01,2024-05-17,26
HHN-BIR-01,2024-05-18,40
HHN-BIR-01,2024-05-19,26
HHN-BIR-01,2024-05-20,22
HHN-BIR-01,2024-05-21,20
HHN-BIR-01,2024-05-22,24
HHN-BIR-01,2024-05-23,30
HHN-BIR-01,2024-05-24,26
HHN-BIR-01,2024-05-25,32
HHN-BIR-01,2024-05-26,33
HHN-BIR-01,2024-05-27,25
HHN-BIR-01,2024-05-28,33
HHN-BIR-01,2024-05-29,25
HHN-BIR-01,2024-05-30,37
HHN-BIR-01,2024-05-31,26
HHN-BIR-01,2024-06-01,28
HHN-BIR-01,2024-06-02,28
HHN-BIR-01,2024-06-03,36
HHN-BIR-01,2024-06-04,36
HHN-BIR-01,2024-06-05,27
HHN-BIR-01,2024-06-06,24
HHN-BIR-01,2024-06-07,27
HHN-BIR-01,2024-06-08,33
HHN-BIR-01,2024-06-09,30
HHN-BIR-01,2024-06-10,37
HHN-BIR-01,2024-06-11,34
HHN-BIR-01,2024-06-12,45
HHN-BIR-01,2024-06-13,41
HHN-BIR-01,2024-06-14,27
HHN-BIR-01,2024-06-15,38
HHN-BIR-01,2024-06-16,46
HHN-BIR-01,2024-06-17,20
HHN-BIR-01,2024-06-18,26
HHN-BIR-01,2024-06-19,26
HHN-BIR-01,2024-06-20,19
HHN-BIR-01,2024-06-21,28
HHN-BIR-01,2024-06-22,15
HHN-BIR-01,2024-06-23,29
HHN-BIR-01,2024-06-24,21
HHN-BIR-01,2024-06-25,21
HHN-BIR-01,2024-06-26,26
HHN-BIR-01,2024-06-27,23
HHN-BIR-01,2024-06-28,23
HHN-BIR-01,2024-06-29,28
HHN-BIR-01,2024-06-30,44
HHN-BIR-01,2024-07-01,39
HHN-BIR-01,2024-07-02,31
HHN-BIR-01,2024-07-03,26
HHN-BIR-01,2024-07-04,23
HHN-BIR-01,2024-07-05,31
HHN-BIR-01,2024-07-06,27
HHN-BIR-01,2024-07-07,22
HHN-BIR-01,2024-07-08,28
HHN-BIR-01,2024-07-09,22
HHN-BIR-01,2024-07-10,20
HHN-BIR-01,2024-07-11,19
HHN-BIR-01,2024-07-12,27
HHN-BIR-01,2024-07-13,17
HHN-BIR-01,2024-07-14,27
HHN-BIR-01,2024-07-15,23
HHN-BIR-01,2024-07-16,16
HHN-BIR-01,2024-07-17,23
HHN-BIR-01,2024-07-18,27
HHN-BIR-01,2024-07-19,32
HHN-BIR-01,2024-07-20,12
HHN-BIR-01,2024-07-21,25
HHN-BIR-01,2024-07-22,18
HHN-BIR-01,2024-07-23,27
HHN-BIR-01,2024-07-24,26
HHN-BIR-01,2024-07-25,39
HHN-BIR-01,2024-07-26,30
HHN-BIR-01,2024-07-27,22
HHN-BIR-01,2024-07-28,25
HHN-BIR-01,2024-07-29,27
HHN-BIR-01,2024-07-30,32
HHN-BIR-01,2024-07-31,35
HHN-BIR-01,2024-08-01,18
HHN-BIR-01,2024-08-02,18
HHN-BIR-01,2024-08-03,26
HHN-BIR-01,2024-08-04,31
HHN-BIR-01,2024-08-05,22
HHN-BIR-01,2024-08-06,17
HHN-BIR-01,2024-08-07,22
HHN-BIR-01,2024-08-08,20
HHN-BIR-01,2024-08-09,23
HHN-BIR-01,2024-08-10,18
HHN-BIR-01,2024-08-11,24
HHN-BIR-01,2024-08-12,23
HHN-BIR-01,2024-08-13,26
HHN-BIR-01,2024-08-14,30
HHN-BIR-01,2024-08-15,29
HHN-BIR-01,2024-08-16,14
HHN-BIR-01,2024-08-17,15
HHN-BIR-01,2024-08-18,15
HHN-BIR-01,2024-08-19,28
HHN-BIR-01,2024-08-20,21
HHN-BIR-01,2024-08-21,15
HHN-BIR-01,2024-08-22,20
HHN-BIR-01,2024-08-23,21
HHN-BIR-01,2024-08-24,14
HHN-BIR-01,2024-08-25,22
HHN-BIR-01,2024-08-26,15
HHN-BIR-01,2024-08-27,12
HHN-BIR-01,2024-08-28,25
HHN-BIR-01,2024-08-29,28
HHN-BIR-01,2024-08-30,24
HHN-BIR-01,2024-08-31,25
HHN-BIR-01,2024-09-01,20
HHN-BIR-01,2024-09-02,21
HHN-BIR-01,2024-09-03,20
HHN-BIR-01,2024-09-04,33
HHN-BIR-01,2024-09-05,38
HHN-BIR-01,2024-09-06,36
HHN-BIR-01,2024-09-07,25
HHN-BIR-01,2024-09-08,18
HHN-BIR-01,2024-09-09,24
HHN-BIR-01,2024-09-10,32
HHN-BIR-01,2024-09-11,19
HHN-BIR-01,2024-09-12,28
HHN-BIR-01,2024-09-13,22
HHN-BIR-01,2024-09-14,25
HHN-BIR-01,2024-09-15,27
HHN-BIR-01,2024-09-16,30
HHN-BIR-01,2024-09-17,33
HHN-BIR-01,2024-09-18,27
HHN-BIR-01,2024-09-19,28
HHN-BIR-01,2024-09-20,22
HHN-BIR-01,2024-09-21,27
HHN-BIR-01,2024-09-22,23
HHN-BIR-01,2024-09-23,32
HHN-BIR-01,2024-09-24,21
HHN-BIR-01,2024-09-25,32
HHN-BIR-01,2024-09-26,25
HHN-BIR-01,2024-09-27,36
HHN-BIR-01,2024-09-28,15
HHN-BIR-01,2024-09-29,27
HHN-BIR-01,2024-09-30,23
HHN-BIR-01,2024-10-01,31
HHN-BIR-01,2024-10-02,26
HHN-BIR-01,2024-10-03,25
HHN-BIR-01,2024-10-04,27
HHN-BIR-01,2024-10-05,22
HHN-BIR-01,2024-10-06,29
HHN-BIR-01,2024-10-07,39
HHN-BIR-01,2024-10-08,43
HHN-BIR-01,2024-10-09,27
HHN-BIR-01,2024-10-10,29
HHN-BIR-01,2024-10-11,28
HHN-BIR-01,2024-10-12,24
HHN-BIR-01,2024-10-13,36
HHN-BIR-01,2024-10-14,28
HHN-BIR-01,2024-10-15,26
HHN-BIR-01,2024-10-16,34
HHN-BIR-01,2024-10-17,25
HHN-BIR-01,2024-10-18,26
HHN-BIR-01,2024-10-19,36
HHN-BIR-01,2024-10-20,36
HHN-BIR-01,2024-10-21,21
HHN-BIR-01,2024-10-22,26
HHN-BIR-01,2024-10-23,33
HHN-BIR-01,2024-10-24,28
HHN-BIR-01,2024-10-25,34
HHN-BIR-01,2024-10-26,30
HHN-BIR-01,2024-10-27,30
HHN-BIR-01,2024-10-28,42
HHN-BIR-01,2024-10-29,31
HHN-BIR-01,2024-10-30,37
HHN-BIR-01,2024-10-31,33
HHN-BIR-01,2024-11-01,29
HHN-BIR-01,2024-11-02,22
HHN-BIR-01,2024-11-03,23
HHN-BIR-01,2024-11-04,29
HHN-BIR-01,2024-11-05,32
HHN-BIR-01,2024-11-06,31
HHN-BIR-01,2024-11-07,33
HHN-BIR-01,2024-11-08,38
HHN-BIR-01,2024-11-09,34
HHN-BIR-01,2024-11-10,27
HHN-BIR-01,2024-11-11,28
HHN-BIR-01,2024-11-12,36
HHN-BIR-01,2024-11-13,28
HHN-BIR-01,2024-11-14,30
HHN-BIR-01,2024-11-15,32
HHN-BIR-01,2024-11-16,21
HHN-BIR-01,2024-11-17,26
HHN-BIR-01,2024-11-18,25
HHN-BIR-01,2024-11-19,27
HHN-BIR-01,2024-11-20,30
HHN-BIR-01,2024-11-21,33
HHN-BIR-01,2024-11-22,25
HHN-BIR-01,2024-11-23,28
HHN-BIR-01,2024-11-24,32
HHN-BIR-01,2024-11-25,32
HHN-BIR-01,2024-11-26,28
HHN-BIR-01,2024-11-27,23
HHN-BIR-01,2024-11-28,30
HHN-BIR-01,2024-11-29,24
HHN-BIR-01,2024-11-30,32
HHN-BIR-01,2024-12-01,39
HHN-BIR-01,2024-12-02,35
HHN-BIR-01,2024-12-03,33
HHN-BIR-01,2024-12-04,27
HHN-BIR-01,2024-12-05,27
HHN-BIR-01,2024-12-06,30
HHN-BIR-01,2024-12-07,45
HHN-BIR-01,2024-12-08,37
HHN-BIR-01,2024-12-09,29
HHN-BIR-01,2024-12-10,40
HHN-BIR-01,2024-12-11,45
HHN-BIR-01,2024-12-12,41
HHN-BIR-01,2024-12-13,39
HHN-BIR-01,2024-12-14,39
HHN-BIR-01,2024-12-15,39
HHN-BIR-01,2024-12-16,22
HHN-BIR-01,2024-12-17,39
HHN-BIR-01,2024-12-18,30
HHN-BIR-01,2024-12-19,35
HHN-BIR-01,2024-12-20,40
HHN-BIR-01,2024-12-21,44
HHN-BIR-01,2024-12-22,38
HHN-BIR-01,2024-12-23,31
HHN-BIR-01,2024-12-24,27
HHN-BIR-01,2024-12-25,33
HHN-BIR-01,2024-12-26,31
HHN-BIR-01,2024-12-27,17
HHN-BIR-01,2024-12-28,21
HHN-BIR-01,2024-12-29,37
HHN-BIR-01,2024-12-30,32
HHN-BIR-01,2024-12-31,33
HHN-BIR-01,2025-01-01,38
HHN-BIR-01,2025-01-02,36
HHN-BIR-01,2025-01-03,29
HHN-BIR-01,2025-01-04,31
HHN-BIR-01,2025-01-05,39
HHN-BIR-01,2025-01-06,36
HHN-BIR-01,2025-01-07,35
HHN-BIR-01,2025-01-08,45
HHN-BIR-01,2025-01-09,40
HHN-BIR-01,2025-01-10,37
HHN-BIR-01,2025-01-11,33
HHN-BIR-01,2025-01-12,31
HHN-BIR-01,2025-01-13,32
HHN-BIR-01,2025-01-14,30
HHN-BIR-01,2025-01-15,28
HHN-BIR-01,2025-01-16,37
HHN-BIR-01,2025-01-17,29
HHN-BIR-01,2025-01-18,27
HHN-BIR-01,2025-01-19,30
HHN-BIR-01,2025-01-20,41
HHN-BIR-01,2025-01-21,41
HHN-BIR-01,2025-01-22,28
HHN-BIR-01,2025-01-23,41
HHN-BIR-01,2025-01-24,39
HHN-BIR-01,2025-01-25,33
HHN-BIR-01,2025-01-26,42
HHN-BIR-01,2025-01-27,39
HHN-BIR-01,2025-01-28,45
HHN-BIR-01,2025-01-29,31
HHN-BIR-01,2025-01-30,36
HHN-BIR-01,2025-01-31,44
HHN-BIR-01,2025-02-01,33
HHN-BIR-01,2025-02-02,34
HHN-BIR-01,2025-02-03,32
HHN-BIR-01,2025-02-04,42
HHN-BIR-01,2025-02-05,35
HHN-BIR-01,2025-02-06,25
HHN-BIR-01,2025-02-07,27
HHN-BIR-01,2025-02-08,30
HHN-BIR-01,2025-02-09,39
HHN-BIR-01,2025-02-10,31
HHN-BIR-01,2025-02-11,50
HHN-BIR-01,2025-02-12,46
HHN-BIR-01,2025-02-13,45
HHN-BIR-01,2025-02-14,50
HHN-BIR-01,2025-02-15,30
HHN-BIR-01,2025-02-16,39
HHN-BIR-01,2025-02-17,40
HHN-BIR-01,2025-02-18,32
HHN-BIR-01,2025-02-19,35
HHN-BIR-01,2025-02-20,49
HHN-BIR-01,2025-02-21,43
HHN-BIR-01,2025-02-22,52
HHN-BIR-01,2025-02-23,43
HHN-BIR-01,2025-02-24,30
HHN-BIR-01,2025-02-25,30
HHN-BIR-01,2025-02-26,34
HHN-BIR-01,2025-02-27,45
HHN-BIR-01,2025-02-28,31
HHN-BIR-01,2025-03-01,42
HHN-BIR-01,2025-03-02,32
HHN-BIR-01,2025-03-03,34
HHN-BIR-01,2025-03-04,38
HHN-BIR-01,2025-03-05,30
HHN-BIR-01,2025-03-06,29
HHN-BIR-01,2025-03-07,34
HHN-BIR-01,2025-03-08,30
HHN-BIR-01,2025-03-09,28
HHN-BIR-01,2025-03-10,25
HHN-BIR-01,2025-03-11,39
HHN-BIR-01,2025-03-12,19
HHN-BIR-01,2025-03-13,28
HHN-BIR-01,2025-03-14,22
HHN-BIR-01,2025-03-15,30
HHN-BIR-01,2025-03-16,27
HHN-BIR-01,2025-03-17,19
HHN-BIR-01,2025-03-18,22
HHN-BIR-01,2025-03-19,28
HHN-BIR-01,2025-03-20,22
HHN-BIR-01,2025-03-21,42
HHN-BIR-01,2025-03-22,31
HHN-BIR-01,2025-03-23,31
HHN-BIR-01,2025-03-24,40
HHN-BIR-01,2025-03-25,22
HHN-BIR-01,2025-03-26,31
HHN-BIR-01,2025-03-27,25
HHN-BIR-01,2025-03-28,32
HHN-BIR-01,2025-03-29,33
HHN-BIR-01,2025-03-30,32
HHN-BIR-01,2025-03-31,26
HHN-BIR-01,2025-04-01,21
HHN-BIR-01,2025-04-02,35
HHN-BIR-01,2025-04-03,31
HHN-BIR-01,2025-04-04,33
HHN-BIR-01,2025-04-05,20
HHN-BIR-01,2025-04-06,33
HHN-BIR-01,2025-04-07,30
HHN-BIR-01,2025-04-08,40
HHN-BIR-01,2025-04-09,37
HHN-BIR-01,2025-04-10,30
HHN-BIR-01,2025-04-11,30
HHN-BIR-01,2025-04-12,20
HHN-BIR-01,2025-04-13,29
HHN-BIR-01,2025-04-14,30
HHN-BIR-01,2025-04-15,29
HHN-BIR-01,2025-04-16,31
HHN-BIR-01,2025-04-17,22
HHN-BIR-01,2025-04-18,26
HHN-BIR-01,2025-04-19,39
HHN-BIR-01,2025-04-20,31
HHN-BIR-01,2025-04-21,22
HHN-BIR-01,2025-04-22,24
HHN-BIR-01,2025-04-23,26
HHN-BIR-01,2025-04-24,27
HHN-BIR-01,2025-04-25,33
HHN-BIR-01,2025-04-26,26
HHN-BIR-01,2025-04-27,37
HHN-BIR-01,2025-04-28,30
HHN-BIR-01,2025-04-29,27
HHN-BIR-01,2025-04-30,35
HHN-BIR-01,2025-05-01,32
HHN-BIR-01,2025-05-02,33
HHN-BIR-01,2025-05-03,27
HHN-BIR-01,2025-05-04,43
HHN-BIR-01,2025-05-05,22
HHN-BIR-01,2025-05-06,35
HHN-BIR-01,2025-05-07,41
HHN-BIR-01,2025-05-08,33
HHN-BIR-01,2025-05-09,27
HHN-BIR-01,2025-05-10,23
HHN-BIR-01,2025-05-11,28
HHN-BIR-01,2025-05-12,34
HHN-BIR-01,2025-05-13,34
HHN-BIR-01,2025-05-14,37
HHN-BIR-01,2025-05-15,33
HHN-BIR-01,2025-05-16,21
HHN-BIR-01,2025-05-17,23
HHN-BIR-01,2025-05-18,28
HHN-BIR-01,2025-05-19,29
HHN-BIR-01,2025-05-20,28
HHN-BIR-01,2025-05-21,32
HHN-BIR-01,2025-05-22,30
HHN-BIR-01,2025-05-23,30
HHN-BIR-01,2025-05-24,31
HHN-BIR-01,2025-05-25,24
HHN-BIR-01,2025-05-26,24
HHN-BIR-01,2025-05-27,23
HHN-BIR-01,2025-05-28,18
HHN-BIR-01,2025-05-29,27
HHN-BIR-01,2025-05-30,21
HHN-BIR-01,2025-05-31,27
HHN-BIR-01,2025-06-01,24
HHN-BIR-01,2025-06-02,25
HHN-BIR-01,2025-06-03,17
HHN-BIR-01,2025-06-04,24
HHN-BIR-01,2025-06-05,23
HHN-BIR-01,2025-06-06,30
HHN-BIR-01,2025-06-07,27
HHN-BIR-01,2025-06-08,15
HHN-BIR-01,2025-06-09,22
HHN-BIR-01,2025-06-10,20
HHN-BIR-01,2025-06-11,22
HHN-BIR-01,2025-06-12,18
HHN-BIR-01,2025-06-13,22
HHN-BIR-01,2025-06-14,26
HHN-BIR-01,2025-06-15,22
HHN-BIR-01,2025-06-16,25
HHN-BIR-01,2025-06-17,23
HHN-BIR-01,2025-06-18,14
HHN-BIR-01,2025-06-19,29
HHN-BIR-01,2025-06-20,33
HHN-BIR-01,2025-06-21,29
HHN-BIR-01,2025-06-22,30
HHN-BIR-01,2025-06-23,29
HHN-BIR-01,2025-06-24,23
HHN-BIR-01,2025-06-25,23
HHN-BIR-01,2025-06-26,25
HHN-BIR-01,2025-06-27,35
HHN-BIR-01,2025-06-28,25
HHN-BIR-01,2025-06-29,21
HHN-BIR-01,2025-06-30,23
HHN-BIR-01,2025-07-01,26
HHN-BIR-01,2025-07-02,19
HHN-BIR-01,2025-07-03,38
HHN-BIR-01,2025-07-04,32
HHN-BIR-01,2025-07-05,27
HHN-BIR-01,2025-07-06,22
HHN-BIR-01,2025-07-07,40
HHN-BIR-01,2025-07-08,23
HHN-BIR-01,2025-07-09,28
HHN-BIR-01,2025-07-10,26
HHN-BIR-01,2025-07-11,24
HHN-BIR-01,2025-07-12,19
HHN-BIR-01,2025-07-13,31
HHN-BIR-01,2025-07-14,20
HHN-BIR-01,2025-07-15,20
HHN-BIR-01,2025-07-16,20
HHN-BIR-01,2025-07-17,23
HHN-BIR-01,2025-07-18,27
HHN-BIR-01,2025-07-19,28
HHN-BIR-01,2025-07-20,21
HHN-BIR-01,2025-07-21,16
HHN-BIR-01,2025-07-22,32
HHN-BIR-01,2025-07-23,22
HHN-BIR-01,2025-07-24,37
HHN-BIR-01,2025-07-25,32
HHN-BIR-01,2025-07-26,9
HHN-BIR-01,2025-07-27,28
HHN-BIR-01,2025-07-28,13
HHN-BIR-01,2025-07-29,30
HHN-BIR-01,2025-07-30,32
HHN-BIR-01,2025-07-31,38
HHN-BIR-01,2025-08-01,31
HHN-BIR-01,2025-08-02,27
HHN-BIR-01,2025-08-03,35
HHN-BIR-01,2025-08-04,20
HHN-BIR-01,2025-08-05,20
HHN-BIR-01,2025-08-06,24
HHN-BIR-01,2025-08-07,31
HHN-BIR-01,2025-08-08,21
HHN-BIR-01,2025-08-09,27
HHN-BIR-01,2025-08-10,30
HHN-BIR-01,2025-08-11,33
HHN-BIR-01,2025-08-12,23
HHN-BIR-01,2025-08-13,21
HHN-BIR-01,2025-08-14,21
HHN-BIR-01,2025-08-15,30
HHN-BIR-01,2025-08-16,20
HHN-BIR-01,2025-08-17,27
HHN-BIR-01,2025-08-18,23
HHN-BIR-01,2025-08-19,22
HHN-BIR-01,2025-08-20,21
HHN-BIR-01,2025-08-21,22
HHN-BIR-01,2025-08-22,22
HHN-BIR-01,2025-08-23,27
HHN-BIR-01,2025-08-24,23
HHN-BIR-01,2025-08-25,22
HHN-BIR-01,2025-08-26,32
HHN-BIR-01,2025-08-27,19
HHN-BIR-01,2025-08-28,24
HHN-BIR-01,2025-08-29,18
HHN-BIR-01,2025-08-30,17
HHN-BIR-01,2025-08-31,22
HHN-BIR-01,2025-09-01,19
HHN-BIR-01,2025-09-02,20
HHN-BIR-01,2025-09-03,26
HHN-BIR-01,2025-09-04,30
HHN-BIR-01,2025-09-05,29
HHN-BIR-01,2025-09-06,21
HHN-BIR-01,2025-09-07,29
HHN-BIR-01,2025-09-08,25
HHN-BIR-01,2025-09-09,29
HHN-BIR-01,2025-09-10,27
HHN-BIR-01,2025-09-11,32
HHN-BIR-01,2025-09-12,32
HHN-BIR-01,2025-09-13,24
HHN-BIR-01,2025-09-14,29
HHN-BIR-01,2025-09-15,23
HHN-BIR-01,2025-09-16,26
HHN-BIR-01,2025-09-17,18
HHN-BIR-01,2025-09-18,26
HHN-BIR-01,2025-09-19,31
HHN-BIR-01,2025-09-20,31
HHN-BIR-01,2025-09-21,40
HHN-BIR-01,2025-09-22,24
HHN-BIR-01,2025-09-23,34
HHN-BIR-01,2025-09-24,31
HHN-BIR-01,2025-09-25,33
HHN-BIR-01,2025-09-26,25
HHN-BIR-01,2025-09-27,36
HHN-BIR-01,2025-09-28,43
HHN-BIR-01,2025-09-29,43
HHN-BIR-01,2025-09-30,25
HHN-BIR-01,2025-10-01,22
HHN-BIR-01,2025-10-02,27
HHN-BIR-01,2025-10-03,36
HHN-BIR-01,2025-10-04,31
HHN-BIR-01,2025-10-05,26
HHN-BIR-01,2025-10-06,22
HHN-BIR-01,2025-10-07,34
HHN-BIR-01,2025-10-08,30
HHN-BIR-01,2025-10-09,24
HHN-BIR-01,2025-10-10,32
HHN-BIR-01,2025-10-11,33
HHN-BIR-01,2025-10-12,19
HHN-BIR-01,2025-10-13,23
HHN-BIR-01,2025-10-14,28
HHN-BIR-01,2025-10-15,34
HHN-BIR-01,2025-10-16,35
HHN-BIR-01,2025-10-17,30
HHN-BIR-01,2025-10-18,31
HHN-BIR-01,2025-10-19,27
HHN-BIR-01,2025-10-20,23
HHN-BIR-01,2025-10-21,37
HHN-BIR-01,2025-10-22,26
HHN-BIR-01,2025-10-23,29
HHN-BIR-01,2025-10-24,41
HHN-BIR-01,2025-10-25,31
HHN-BIR-01,2025-10-26,40
HHN-BIR-01,2025-10-27,27
HHN-BIR-01,2025-10-28,36
HHN-BIR-01,2025-10-29,32
HHN-BIR-01,2025-10-30,25
HHN-BIR-01,2025-10-31,35
HHN-BIR-01,2025-11-01,32
HHN-BIR-01,2025-11-02,33
HHN-BIR-01,2025-11-03,26
HHN-BIR-01,2025-11-04,27
HHN-BIR-01,2025-11-05,24
HHN-BIR-01,2025-11-06,26
HHN-BIR-01,2025-11-07,32
HHN-BIR-01,2025-11-08,28
HHN-BIR-01,2025-11-09,30
HHN-BIR-01,2025-11-10,24
HHN-BIR-01,2025-11-11,31
HHN-BIR-01,2025-11-12,32
HHN-BIR-01,2025-11-13,33
HHN-BIR-01,2025-11-14,23
HHN-BIR-01,2025-11-15,35
HHN-BIR-01,2025-11-16,34
HHN-BIR-01,2025-11-17,34
HHN-BIR-01,2025-11-18,26
HHN-BIR-01,2025-11-19,41
HHN-BIR-01,2025-11-20,30
HHN-BIR-01,2025-11-21,28
HHN-BIR-01,2025-11-22,28
HHN-BIR-01,2025-11-23,33
HHN-BIR-01,2025-11-24,46
HHN-BIR-01,2025-11-25,29
HHN-BIR-01,2025-11-26,43
HHN-BIR-01,2025-11-27,39
HHN-BIR-01,2025-11-28,42
HHN-BIR-01,2025-11-29,32
HHN-BIR-01,2025-11-30,34
HHN-BIR-01,2025-12-01,45
HHN-BIR-01,2025-12-02,35
HHN-BIR-01,2025-12-03,39
HHN-BIR-01,2025-12-04,30
HHN-BIR-01,2025-12-05,33
HHN-BIR-01,2025-12-06,24
HHN-BIR-01,2025-12-07,37
HHN-BIR-01,2025-12-08,25
HHN-BIR-01,2025-12-09,34
HHN-BIR-01,2025-12-10,35
HHN-BIR-01,2025-12-11,24
HHN-BIR-01,2025-12-12,42
HHN-BIR-01,2025-12-13,22
HHN-BIR-01,2025-12-14,38
HHN-BIR-01,2025-12-15,30
HHN-BIR-01,2025-12-16,35
HHN-BIR-01,2025-12-17,24
HHN-BIR-01,2025-12-18,46
HHN-BIR-01,2025-12-19,45
HHN-BIR-01,2025-12-20,50
HHN-BIR-01,2025-12-21,42
HHN-BIR-01,2025-12-22,47
HHN-BIR-01,2025-12-23,26
HHN-BIR-01,2025-12-24,24
HHN-BIR-01,2025-12-25,34
HHN-BIR-01,2025-12-26,41
HHN-BIR-01,2025-12-27,29
HHN-BIR-01,2025-12-28,31
HHN-BIR-01,2025-12-29,42
HHN-BIR-01,2025-12-30,37
HHN-BIR-01,2025-12-31,49
HHN-BIR-01,2026-01-01,35
HHN-BIR-01,2026-01-02,27
HHN-BIR-01,2026-01-03,19
HHN-BIR-01,2026-01-04,13
HHN-BIR-01,2026-01-05,9
