hospital_id,date,total_admissions
HHN-BIR-01,2024-04-20,17
HHN-BIR-01,2024-04-21,16
HHN-BIR-01,2024-04-22,32
HHN-BIR-01,2024-04-23,25
HHN-BIR-01,2024-04-24,45
HHN-BIR-01,2024-04-25,33
HHN-BIR-01,2024-04-26,41
HHN-BIR-01,2024-04-27,31
HHN-BIR-01,2024-04-28,23
HHN-BIR-01,2024-04-29,46
HHN-BIR-01,2024-04-30,47
HHN-BIR-01,2024-05-01,36
HHN-BIR-01,2024-05-02,35
HHN-BIR-01,2024-05-03,34
HHN-BIR-01,2024-05-04,19
HHN-BIR-01,2024-05-05,28
HHN-BIR-01,2024-05-06,38
HHN-BIR-01,2024-05-07,33
HHN-BIR-01,2024-05-08,28
HHN-BIR-01,2024-05-09,31
HHN-BIR-01,2024-05-10,27
HHN-BIR-01,2024-05-11,15
HHN-BIR-01,2024-05-12,12
HHN-BIR-01,2024-05-13,36
HHN-BIR-01,2024-05-14,28
HHN-BIR-01,2024-05-15,33
HHN-BIR-01,2024-05-16,24
HHN-BIR-01,2024-05-17,38
HHN-BIR-01,2024-05-18,28
HHN-BIR-01,2024-05-19,13
HHN-BIR-01,2024-05-20,23
HHN-BIR-01,2024-05-21,33
HHN-BIR-01,2024-05-22,28
HHN-BIR-01,2024-05-23,26
HHN-BIR-01,2024-05-24,34
HHN-BIR-01,2024-05-25,35
HHN-BIR-01,2024-05-26,25
HHN-BIR-01,2024-05-27,18
HHN-BIR-01,2024-05-28,36
HHN-BIR-01,2024-05-29,30
HHN-BIR-01,2024-05-30,38
HHN-BIR-01,2024-05-31,37
HHN-BIR-01,2024-06-01,19
HHN-BIR-01,2024-06-02,25
HHN-BIR-01,2024-06-03,35
HHN-BIR-01,2024-06-04,35
HHN-BIR-01,2024-06-05,29
HHN-BIR-01,2024-06-06,20
HHN-BIR-01,2024-06-07,37
HHN-BIR-01,2024-06-08,28
HHN-BIR-01,2024-06-09,19
HHN-BIR-01,2024-06-10,45
HHN-BIR-01,2024-06-11,54
HHN-BIR-01,2024-06-12,39
HHN-BIR-01,2024-06-13,44
HHN-BIR-01,2024-06-14,34
HHN-BIR-01,2024-06-15,15
HHN-BIR-01,2024-06-16,23
HHN-BIR-01,2024-06-17,16
HHN-BIR-01,2024-06-18,21
HHN-BIR-01,2024-06-19,29
HHN-BIR-01,2024-06-20,24
HHN-BIR-01,2024-06-21,25
HHN-BIR-01,2024-06-22,21
HHN-BIR-01,2024-06-23,16
HHN-BIR-01,2024-06-24,26
HHN-BIR-01,2024-06-25,31
HHN-BIR-01,2024-06-26,29
HHN-BIR-01,2024-06-27,32
HHN-BIR-01,2024-06-28,36
HHN-BIR-01,2024-06-29,44
HHN-BIR-01,2024-06-30,14
HHN-BIR-01,2024-07-01,34
HHN-BIR-01,2024-07-02,34
HHN-BIR-01,2024-07-03,30
HHN-BIR-01,2024-07-04,18
HHN-BIR-01,2024-07-05,19
HHN-BIR-01,2024-07-06,31
HHN-BIR-01,2024-07-07,15
HHN-BIR-01,2024-07-08,28
HHN-BIR-01,2024-07-09,21
HHN-BIR-01,2024-07-10,18
HHN-BIR-01,2024-07-11,22
HHN-BIR-01,2024-07-12,33
HHN-BIR-01,2024-07-13,14
HHN-BIR-01,2024-07-14,11
HHN-BIR-01,2024-07-15,30
HHN-BIR-01,2024-07-16,31
HHN-BIR-01,2024-07-17,20
HHN-BIR-01,2024-07-18,26
HHN-BIR-01,2024-07-19,15
HHN-BIR-01,2024-07-20,17
HHN-BIR-01,2024-07-21,22
HHN-BIR-01,2024-07-22,47
HHN-BIR-01,2024-07-23,33
HHN-BIR-01,2024-07-24,32
HHN-BIR-01,2024-07-25,24
HHN-BIR-01,2024-07-26,32
HHN-BIR-01,2024-07-27,24
HHN-BIR-01,2024-07-28,18
HHN-BIR-01,2024-07-29,34
HHN-BIR-01,2024-07-30,28
HHN-BIR-01,2024-07-31,25
HHN-BIR-01,2024-08-01,20
HHN-BIR-01,2024-08-02,18
HHN-BIR-01,2024-08-03,17
HHN-BIR-01,2024-08-04,22
HHN-BIR-01,2024-08-05,20
HHN-BIR-01,2024-08-06,16
HHN-BIR-01,2024-08-07,28
HHN-BIR-01,2024-08-08,16
HHN-BIR-01,2024-08-09,33
HHN-BIR-01,2024-08-10,22
HHN-BIR-01,2024-08-11,29
HHN-BIR-01,2024-08-12,24
HHN-BIR-01,2024-08-13,19
HHN-BIR-01,2024-08-14,24
HHN-BIR-01,2024-08-15,15
HHN-BIR-01,2024-08-16,22
HHN-BIR-01,2024-08-17,17
HHN-BIR-01,2024-08-18,20
HHN-BIR-01,2024-08-19,14
HHN-BIR-01,2024-08-20,24
HHN-BIR-01,2024-08-21,9
HHN-BIR-01,2024-08-22,14
HHN-BIR-01,2024-08-23,38
HHN-BIR-01,2024-08-24,6
HHN-BIR-01,2024-08-25,22
HHN-BIR-01,2024-08-26,23
HHN-BIR-01,2024-08-27,25
HHN-BIR-01,2024-08-28,33
HHN-BIR-01,2024-08-29,28
HHN-BIR-01,2024-08-30,17
HHN-BIR-01,2024-08-31,20
HHN-BIR-01,2024-09-01,25
HHN-BIR-01,2024-09-02,31
HHN-BIR-01,2024-09-03,24
HHN-BIR-01,2024-09-04,40
HHN-BIR-01,2024-09-05,33
HHN-BIR-01,2024-09-06,24
HHN-BIR-01,2024-09-07,26
HHN-BIR-01,2024-09-08,13
HHN-BIR-01,2024-09-09,33
HHN-BIR-01,2024-09-10,18
HHN-BIR-01,2024-09-11,26
HHN-BIR-01,2024-09-12,26
HHN-BIR-01,2024-09-13,37
HHN-BIR-01,2024-09-14,23
HHN-BIR-01,2024-09-15,21
HHN-BIR-01,2024-09-16,43
HHN-BIR-01,2024-09-17,25
HHN-BIR-01,2024-09-18,41
HHN-BIR-01,2024-09-19,19
HHN-BIR-01,2024-09-20,28
HHN-BIR-01,2024-09-21,15
HHN-BIR-01,2024-09-22,15
HHN-BIR-01,2024-09-23,25
HHN-BIR-01,2024-09-24,22
HHN-BIR-01,2024-09-25,38
HHN-BIR-01,2024-09-26,36
HHN-BIR-01,2024-09-27,21
HHN-BIR-01,2024-09-28,29
HHN-BIR-01,2024-09-29,28
HHN-BIR-01,2024-09-30,25
HHN-BIR-01,2024-10-01,14
HHN-BIR-01,2024-10-02,27
HHN-BIR-01,2024-10-03,30
HHN-BIR-01,2024-10-04,40
HHN-BIR-01,2024-10-05,39
HHN-BIR-01,2024-10-06,29
HHN-BIR-01,2024-10-07,38
HHN-BIR-01,2024-10-08,27
HHN-BIR-01,2024-10-09,33
HHN-BIR-01,2024-10-10,32
HHN-BIR-01,2024-10-11,44
HHN-BIR-01,2024-10-12,18
HHN-BIR-01,2024-10-13,18
HHN-BIR-01,2024-10-14,29
HHN-BIR-01,2024-10-15,35
HHN-BIR-01,2024-10-16,34
HHN-BIR-01,2024-10-17,27
HHN-BIR-01,2024-10-18,29
HHN-BIR-01,2024-10-19,23
HHN-BIR-01,2024-10-20,17
HHN-BIR-01,2024-10-21,28
HHN-BIR-01,2024-10-22,33
HHN-BIR-01,2024-10-23,35
HHN-BIR-01,2024-10-24,40
HHN-BIR-01,2024-10-25,33
HHN-BIR-01,2024-10-26,53
HHN-BIR-01,2024-10-27,27
HHN-BIR-01,2024-10-28,21
HHN-BIR-01,2024-10-29,38
HHN-BIR-01,2024-10-30,29
HHN-BIR-01,2024-10-31,30
HHN-BIR-01,2024-11-01,28
HHN-BIR-01,2024-11-02,21
HHN-BIR-01,2024-11-03,13
HHN-BIR-01,2024-11-04,29
HHN-BIR-01,2024-11-05,41
HHN-BIR-01,2024-11-06,40
HHN-BIR-01,2024-11-07,39
HHN-BIR-01,2024-11-08,34
HHN-BIR-01,2024-11-09,15
HHN-BIR-01,2024-11-10,35
HHN-BIR-01,2024-11-11,39
HHN-BIR-01,2024-11-12,22
HHN-BIR-01,2024-11-13,27
HHN-BIR-01,2024-11-14,25
HHN-BIR-01,2024-11-15,28
HHN-BIR-01,2024-11-16,12
HHN-BIR-01,2024-11-17,23
HHN-BIR-01,2024-11-18,40
HHN-BIR-01,2024-11-19,25
HHN-BIR-01,2024-11-20,39
HHN-BIR-01,2024-11-21,27
HHN-BIR-01,2024-11-22,38
HHN-BIR-01,2024-11-23,14
HHN-BIR-01,2024-11-24,23
HHN-BIR-01,2024-11-25,29
HHN-BIR-01,2024-11-26,26
HHN-BIR-01,2024-11-27,34
HHN-BIR-01,2024-11-28,37
HHN-BIR-01,2024-11-29,26
HHN-BIR-01,2024-11-30,35
HHN-BIR-01,2024-12-01,32
HHN-BIR-01,2024-12-02,37
HHN-BIR-01,2024-12-03,37
HHN-BIR-01,2024-12-04,32
HHN-BIR-01,2024-12-05,30
HHN-BIR-01,2024-12-06,58
HHN-BIR-01,2024-12-07,32
HHN-BIR-01,2024-12-08,33
HHN-BIR-01,2024-12-09,32
HHN-BIR-01,2024-12-10,40
HHN-BIR-01,2024-12-11,38
HHN-BIR-01,2024-12-12,55
HHN-BIR-01,2024-12-13,47
HHN-BIR-01,2024-12-14,23
HHN-BIR-01,2024-12-15,37
HHN-BIR-01,2024-12-16,36
HHN-BIR-01,2024-12-17,55
HHN-BIR-01,2024-12-18,21
HHN-BIR-01,2024-12-19,35
HHN-BIR-01,2024-12-20,26
HHN-BIR-01,2024-12-21,39
HHN-BIR-01,2024-12-22,30
HHN-BIR-01,2024-12-23,20
HHN-BIR-01,2024-12-24,21
HHN-BIR-01,2024-12-25,34
HHN-BIR-01,2024-12-26,24
HHN-BIR-01,2024-12-27,22
HHN-BIR-01,2024-12-28,33
HHN-BIR-01,2024-12-29,35
HHN-BIR-01,2024-12-30,42
HHN-BIR-01,2024-12-31,44
HHN-BIR-01,2025-01-01,22
HHN-BIR-01,2025-01-02,28
HHN-BIR-01,2025-01-03,34
HHN-BIR-01,2025-01-04,26
HHN-BIR-01,2025-01-05,46
HHN-BIR-01,2025-01-06,65
HHN-BIR-01,2025-01-07,42
HHN-BIR-01,2025-01-08,21
HHN-BIR-01,2025-01-09,21
HHN-BIR-01,2025-01-10,18
HHN-BIR-01,2025-01-11,51
HHN-BIR-01,2025-01-12,31
HHN-BIR-01,2025-01-13,48
HHN-BIR-01,2025-01-14,37
HHN-BIR-01,2025-01-15,20
HHN-BIR-01,2025-01-16,33
HHN-BIR-01,2025-01-17,25
HHN-BIR-01,2025-01-18,37
HHN-BIR-01,2025-01-19,30
HHN-BIR-01,2025-01-20,55
HHN-BIR-01,2025-01-21,27
HHN-BIR-01,2025-01-22,37
HHN-BIR-01,2025-01-23,39
HHN-BIR-01,2025-01-24,36
HHN-BIR-01,2025-01-25,47
HHN-BIR-01,2025-01-26,41
HHN-BIR-01,2025-01-27,40
HHN-BIR-01,2025-01-28,34
HHN-BIR-01,2025-01-29,34
HHN-BIR-01,2025-01-30,39
HHN-BIR-01,2025-01-31,38
HHN-BIR-01,2025-02-01,29
HHN-BIR-01,2025-02-02,23
HHN-BIR-01,2025-02-03,26
HHN-BIR-01,2025-02-04,44
HHN-BIR-01,2025-02-05,38
HHN-BIR-01,2025-02-06,27
HHN-BIR-01,2025-02-07,27
HHN-BIR-01,2025-02-08,44
HHN-BIR-01,2025-02-09,59
HHN-BIR-01,2025-02-10,39
HHN-BIR-01,2025-02-11,45
HHN-BIR-01,2025-02-12,34
HHN-BIR-01,2025-02-13,55
HHN-BIR-01,2025-02-14,38
HHN-BIR-01,2025-02-15,31
HHN-BIR-01,2025-02-16,33
HHN-BIR-01,2025-02-17,52
HHN-BIR-01,2025-02-18,40
HHN-BIR-01,2025-02-19,45
HHN-BIR-01,2025-02-20,41
HHN-BIR-01,2025-02-21,42
HHN-BIR-01,2025-02-22,31
HHN-BIR-01,2025-02-23,36
HHN-BIR-01,2025-02-24,43
HHN-BIR-01,2025-02-25,36
HHN-BIR-01,2025-02-26,31
HHN-BIR-01,2025-02-27,38
HHN-BIR-01,2025-02-28,44
HHN-BIR-01,2025-03-01,27
HHN-BIR-01,2025-03-02,38
HHN-BIR-01,2025-03-03,23
HHN-BIR-01,2025-03-04,26
HHN-BIR-01,2025-03-05,17
HHN-BIR-01,2025-03-06,22
HHN-BIR-01,2025-03-07,39
HHN-BIR-01,2025-03-08,29
HHN-BIR-01,2025-03-09,23
HHN-BIR-01,2025-03-10,31
HHN-BIR-01,2025-03-11,40
HHN-BIR-01,2025-03-12,24
HHN-BIR-01,2025-03-13,28
HHN-BIR-01,2025-03-14,19
HHN-BIR-01,2025-03-15,22
HHN-BIR-01,2025-03-16,19
HHN-BIR-01,2025-03-17,20
HHN-BIR-01,2025-03-18,41
HHN-BIR-01,2025-03-19,31
HHN-BIR-01,2025-03-20,49
HHN-BIR-01,2025-03-21,21
HHN-BIR-01,2025-03-22,29
HHN-BIR-01,2025-03-23,16
HHN-BIR-01,2025-03-24,41
HHN-BIR-01,2025-03-25,39
HHN-BIR-01,2025-03-26,27
HHN-BIR-01,2025-03-27,29
HHN-BIR-01,2025-03-28,28
HHN-BIR-01,2025-03-29,38
HHN-BIR-01,2025-03-30,29
HHN-BIR-01,2025-03-31,29
HHN-BIR-01,2025-04-01,31
HHN-BIR-01,2025-04-02,38
HHN-BIR-01,2025-04-03,24
HHN-BIR-01,2025-04-04,27
HHN-BIR-01,2025-04-05,27
HHN-BIR-01,2025-04-06,24
HHN-BIR-01,2025-04-07,43
HHN-BIR-01,2025-04-08,27
HHN-BIR-01,2025-04-09,32
HHN-BIR-01,2025-04-10,28
HHN-BIR-01,2025-04-11,25
HHN-BIR-01,2025-04-12,26
HHN-BIR-01,2025-04-13,17
HHN-BIR-01,2025-04-14,22
HHN-BIR-01,2025-04-15,34
HHN-BIR-01,2025-04-16,44
HHN-BIR-01,2025-04-17,18
HHN-BIR-01,2025-04-18,26
HHN-BIR-01,2025-04-19,29
HHN-BIR-01,2025-04-20,21
HHN-BIR-01,2025-04-21,25
HHN-BIR-01,2025-04-22,38
HHN-BIR-01,2025-04-23,35
HHN-BIR-01,2025-04-24,26
HHN-BIR-01,2025-04-25,31
HHN-BIR-01,2025-04-26,25
HHN-BIR-01,2025-04-27,31
HHN-BIR-01,2025-04-28,43
HHN-BIR-01,2025-04-29,30
HHN-BIR-01,2025-04-30,34
HHN-BIR-01,2025-05-01,42
HHN-BIR-01,2025-05-02,38
HHN-BIR-01,2025-05-03,30
HHN-BIR-01,2025-05-04,27
HHN-BIR-01,2025-05-05,33
HHN-BIR-01,2025-05-06,42
HHN-BIR-01,2025-05-07,24
HHN-BIR-01,2025-05-08,20
HHN-BIR-01,2025-05-09,35
HHN-BIR-01,2025-05-10,25
HHN-BIR-01,2025-05-11,24
HHN-BIR-01,2025-05-12,52
HHN-BIR-01,2025-05-13,28
HHN-BIR-01,2025-05-14,18
HHN-BIR-01,2025-05-15,18
HHN-BIR-01,2025-05-16,28
HHN-BIR-01,2025-05-17,20
HHN-BIR-01,2025-05-18,31
HHN-BIR-01,2025-05-19,39
HHN-BIR-01,2025-05-20,29
HHN-BIR-01,2025-05-21,17
HHN-BIR-01,2025-05-22,29
HHN-BIR-01,2025-05-23,27
HHN-BIR-01,2025-05-24,29
HHN-BIR-01,2025-05-25,17
HHN-BIR-01,2025-05-26,19
HHN-BIR-01,2025-05-27,23
HHN-BIR-01,2025-05-28,26
HHN-BIR-01,2025-05-29,24
HHN-BIR-01,2025-05-30,29
HHN-BIR-01,2025-05-31,25
HHN-BIR-01,2025-06-01,12
HHN-BIR-01,2025-06-02,32
HHN-BIR-01,2025-06-03,22
HHN-BIR-01,2025-06-04,15
HHN-BIR-01,2025-06-05,25
HHN-BIR-01,2025-06-06,24
HHN-BIR-01,2025-06-07,14
HHN-BIR-01,2025-06-08,25
HHN-BIR-01,2025-06-09,29
HHN-BIR-01,2025-06-10,19
HHN-BIR-01,2025-06-11,26
HHN-BIR-01,2025-06-12,22
HHN-BIR-01,2025-06-13,32
HHN-BIR-01,2025-06-14,21
HHN-BIR-01,2025-06-15,11
HHN-BIR-01,2025-06-16,29
HHN-BIR-01,2025-06-17,28
HHN-BIR-01,2025-06-18,26
HHN-BIR-01,2025-06-19,33
HHN-BIR-01,2025-06-20,33
HHN-BIR-01,2025-06-21,37
HHN-BIR-01,2025-06-22,13
HHN-BIR-01,2025-06-23,29
HHN-BIR-01,2025-06-24,18
HHN-BIR-01,2025-06-25,37
HHN-BIR-01,2025-06-26,21
HHN-BIR-01,2025-06-27,28
HHN-BIR-01,2025-06-28,21
HHN-BIR-01,2025-06-29,26
HHN-BIR-01,2025-06-30,25
HHN-BIR-01,2025-07-01,30
HHN-BIR-01,2025-07-02,25
HHN-BIR-01,2025-07-03,32
HHN-BIR-01,2025-07-04,36
HHN-BIR-01,2025-07-05,22
HHN-BIR-01,2025-07-06,21
HHN-BIR-01,2025-07-07,39
HHN-BIR-01,2025-07-08,21
HHN-BIR-01,2025-07-09,34
HHN-BIR-01,2025-07-10,18
HHN-BIR-01,2025-07-11,29
HHN-BIR-01,2025-07-12,12
HHN-BIR-01,2025-07-13,17
HHN-BIR-01,2025-07-14,20
HHN-BIR-01,2025-07-15,32
HHN-BIR-01,2025-07-16,24
HHN-BIR-01,2025-07-17,23
HHN-BIR-01,2025-07-18,22
HHN-BIR-01,2025-07-19,22
HHN-BIR-01,2025-07-20,19
HHN-BIR-01,2025-07-21,34
HHN-BIR-01,2025-07-22,26
HHN-BIR-01,2025-07-23,21
HHN-BIR-01,2025-07-24,29
HHN-BIR-01,2025-07-25,28
HHN-BIR-01,2025-07-26,21
HHN-BIR-01,2025-07-27,30
HHN-BIR-01,2025-07-28,41
HHN-BIR-01,2025-07-29,31
HHN-BIR-01,2025-07-30,20
HHN-BIR-01,2025-07-31,49
HHN-BIR-01,2025-08-01,17
HHN-BIR-01,2025-08-02,27
HHN-BIR-01,2025-08-03,18
HHN-BIR-01,2025-08-04,18
HHN-BIR-01,2025-08-05,24
HHN-BIR-01,2025-08-06,29
HHN-BIR-01,2025-08-07,27
HHN-BIR-01,2025-08-08,17
HHN-BIR-01,2025-08-09,39
HHN-BIR-01,2025-08-10,26
HHN-BIR-01,2025-08-11,19
HHN-BIR-01,2025-08-12,30
HHN-BIR-01,2025-08-13,26
HHN-BIR-01,2025-08-14,22
HHN-BIR-01,2025-08-15,22
HHN-BIR-01,2025-08-16,16
HHN-BIR-01,2025-08-17,24
HHN-BIR-01,2025-08-18,25
HHN-BIR-01,2025-08-19,21
HHN-BIR-01,2025-08-20,35
HHN-BIR-01,2025-08-21,21
HHN-BIR-01,2025-08-22,26
HHN-BIR-01,2025-08-23,22
HHN-BIR-01,2025-08-24,23
HHN-BIR-01,2025-08-25,21
HHN-BIR-01,2025-08-26,18
HHN-BIR-01,2025-08-27,23
HHN-BIR-01,2025-08-28,19
HHN-BIR-01,2025-08-29,16
HHN-BIR-01,2025-08-30,19
HHN-BIR-01,2025-08-31,19
HHN-BIR-01,2025-09-01,27
HHN-BIR-01,2025-09-02,25
HHN-BIR-01,2025-09-03,30
HHN-BIR-01,2025-09-04,29
HHN-BIR-01,2025-09-05,25
HHN-BIR-01,2025-09-06,37
HHN-BIR-01,2025-09-07,16
HHN-BIR-01,2025-09-08,36
HHN-BIR-01,2025-09-09,30
HHN-BIR-01,2025-09-10,27
HHN-BIR-01,2025-09-11,45
HHN-BIR-01,2025-09-12,24
HHN-BIR-01,2025-09-13,11
HHN-BIR-01,2025-09-14,26
HHN-BIR-01,2025-09-15,22
HHN-BIR-01,2025-09-16,31
HHN-BIR-01,2025-09-17,40
HHN-BIR-01,2025-09-18,38
HHN-BIR-01,2025-09-19,15
HHN-BIR-01,2025-09-20,32
HHN-BIR-01,2025-09-21,23
HHN-BIR-01,2025-09-22,22
HHN-BIR-01,2025-09-23,35
HHN-BIR-01,2025-09-24,36
HHN-BIR-01,2025-09-25,48
HHN-BIR-01,2025-09-26,39
HHN-BIR-01,2025-09-27,33
HHN-BIR-01,2025-09-28,23
HHN-BIR-01,2025-09-29,25
HHN-BIR-01,2025-09-30,35
HHN-BIR-01,2025-10-01,27
HHN-BIR-01,2025-10-02,36
HHN-BIR-01,2025-10-03,34
HHN-BIR-01,2025-10-04,15
HHN-BIR-01,2025-10-05,28
HHN-BIR-01,2025-10-06,35
HHN-BIR-01,2025-10-07,23
HHN-BIR-01,2025-10-08,33
HHN-BIR-01,2025-10-09,28
HHN-BIR-01,2025-10-10,23
HHN-BIR-01,2025-10-11,14
HHN-BIR-01,2025-10-12,24
HHN-BIR-01,2025-10-13,42
HHN-BIR-01,2025-10-14,49
HHN-BIR-01,2025-10-15,31
HHN-BIR-01,2025-10-16,35
HHN-BIR-01,2025-10-17,27
HHN-BIR-01,2025-10-18,18
HHN-BIR-01,2025-10-19,30
HHN-BIR-01,2025-10-20,31
HHN-BIR-01,2025-10-21,37
HHN-BIR-01,2025-10-22,30
HHN-BIR-01,2025-10-23,22
HHN-BIR-01,2025-10-24,44
HHN-BIR-01,2025-10-25,27
HHN-BIR-01,2025-10-26,31
HHN-BIR-01,2025-10-27,40
HHN-BIR-01,2025-10-28,29
HHN-BIR-01,2025-10-29,40
HHN-BIR-01,2025-10-30,26
HHN-BIR-01,2025-10-31,28
HHN-BIR-01,2025-11-01,16
HHN-BIR-01,2025-11-02,21
HHN-BIR-01,2025-11-03,34
HHN-BIR-01,2025-11-04,33
HHN-BIR-01,2025-11-05,31
HHN-BIR-01,2025-11-06,11
HHN-BIR-01,2025-11-07,42
HHN-BIR-01,2025-11-08,23
HHN-BIR-01,2025-11-09,33
HHN-BIR-01,2025-11-10,32
HHN-BIR-01,2025-11-11,39
HHN-BIR-01,2025-11-12,32
HHN-BIR-01,2025-11-13,37
HHN-BIR-01,2025-11-14,31
HHN-BIR-01,2025-11-15,25
HHN-BIR-01,2025-11-16,33
HHN-BIR-01,2025-11-17,43
HHN-BIR-01,2025-11-18,29
HHN-BIR-01,2025-11-19,21
HHN-BIR-01,2025-11-20,41
HHN-BIR-01,2025-11-21,36
HHN-BIR-01,2025-11-22,32
HHN-BIR-01,2025-11-23,36
HHN-BIR-01,2025-11-24,44
HHN-BIR-01,2025-11-25,36
HHN-BIR-01,2025-11-26,48
HHN-BIR-01,2025-11-27,31
HHN-BIR-01,2025-11-28,27
HHN-BIR-01,2025-11-29,33
HHN-BIR-01,2025-11-30,29
HHN-BIR-01,2025-12-01,51
HHN-BIR-01,2025-12-02,33
HHN-BIR-01,2025-12-03,42
HHN-BIR-01,2025-12-04,30
HHN-BIR-01,2025-12-05,27
HHN-BIR-01,2025-12-06,20
HHN-BIR-01,2025-12-07,22
HHN-BIR-01,2025-12-08,36
HHN-BIR-01,2025-12-09,34
HHN-BIR-01,2025-12-10,38
HHN-BIR-01,2025-12-11,28
HHN-BIR-01,2025-12-12,40
HHN-BIR-01,2025-12-13,28
HHN-BIR-01,2025-12-14,28
HHN-BIR-01,2025-12-15,33
HHN-BIR-01,2025-12-16,42
HHN-BIR-01,2025-12-17,66
HHN-BIR-01,2025-12-18,48
HHN-BIR-01,2025-12-19,33
HHN-BIR-01,2025-12-20,23
HHN-BIR-01,2025-12-21,40
HHN-BIR-01,2025-12-22,39
HHN-BIR-01,2025-12-23,39
HHN-BIR-01,2025-12-24,33
HHN-BIR-01,2025-12-25,25
HHN-BIR-01,2025-12-26,20
HHN-BIR-01,2025-12-27,40
HHN-BIR-01,2025-12-28,54
HHN-BIR-01,2025-12-29,39
HHN-BIR-01,2025-12-30,42
HHN-BIR-01,2025-12-31,33
HHN-BIR-01,2026-01-01,3
HHN-EDI-01,2024-01-01,17
HHN-EDI-01,2024-01-02,33
HHN-EDI-01,2024-01-03,16
