hospital_id,date,completed_surgeries,expected_los
HHN-BIR-01,2024-06-28,9,3.2
HHN-BIR-01,2024-07-01,15,4.3
HHN-BIR-01,2024-07-02,10,2.4
HHN-BIR-01,2024-07-03,12,2.733333333333333
HHN-BIR-01,2024-07-04,8,2.6625
HHN-BIR-01,2024-07-05,7,2.642857142857143
HHN-BIR-01,2024-07-08,9,2.4000000000000004
HHN-BIR-01,2024-07-09,6,1.8499999999999999
HHN-BIR-01,2024-07-10,7,2.6285714285714286
HHN-BIR-01,2024-07-11,11,3.690909090909091
HHN-BIR-01,2024-07-12,18,2.5277777777777777
HHN-BIR-01,2024-07-15,11,2.109090909090909
HHN-BIR-01,2024-07-16,13,2.376923076923077
HHN-BIR-01,2024-07-17,10,2.27
HHN-BIR-01,2024-07-18,12,2.783333333333333
HHN-BIR-01,2024-07-19,5,2.38
HHN-BIR-01,2024-07-22,14,3.292857142857143
HHN-BIR-01,2024-07-23,10,2.3600000000000003
HHN-BIR-01,2024-07-24,9,3.2444444444444445
HHN-BIR-01,2024-07-25,8,2.825
HHN-BIR-01,2024-07-26,9,3.1333333333333333
HHN-BIR-01,2024-07-29,9,2.566666666666667
HHN-BIR-01,2024-07-30,10,2.66
HHN-BIR-01,2024-07-31,8,2.375
HHN-BIR-01,2024-08-01,6,2.9166666666666665
HHN-BIR-01,2024-08-02,4,2.55
HHN-BIR-01,2024-08-05,6,2.766666666666667
HHN-BIR-01,2024-08-06,2,2.45
HHN-BIR-01,2024-08-07,2,0.95
HHN-BIR-01,2024-08-08,6,2.8333333333333335
HHN-BIR-01,2024-08-09,7,3.185714285714286
HHN-BIR-01,2024-08-12,4,2.775
HHN-BIR-01,2024-08-13,4,4.85
HHN-BIR-01,2024-08-14,7,2.257142857142857
HHN-BIR-01,2024-08-15,3,2.1333333333333333
HHN-BIR-01,2024-08-16,4,4.425
HHN-BIR-01,2024-08-19,3,4.366666666666667
HHN-BIR-01,2024-08-20,7,2.3285714285714287
HHN-BIR-01,2024-08-21,3,4.133333333333334
HHN-BIR-01,2024-08-22,4,2.425
HHN-BIR-01,2024-08-23,3,3.733333333333333
HHN-BIR-01,2024-08-27,3,2.766666666666667
HHN-BIR-01,2024-08-28,2,2.15
HHN-BIR-01,2024-08-29,7,1.9857142857142858
HHN-BIR-01,2024-08-30,3,4.7
HHN-BIR-01,2024-09-02,8,2.8
HHN-BIR-01,2024-09-03,8,3.8875
HHN-BIR-01,2024-09-04,10,2.12
HHN-BIR-01,2024-09-05,13,1.4692307692307693
HHN-BIR-01,2024-09-06,6,4.466666666666667
HHN-BIR-01,2024-09-09,9,3.3
HHN-BIR-01,2024-09-10,7,3.4285714285714284
HHN-BIR-01,2024-09-11,9,3.577777777777778
HHN-BIR-01,2024-09-12,11,3.5181818181818185
HHN-BIR-01,2024-09-13,7,3.7142857142857144
HHN-BIR-01,2024-09-16,7,3.0
HHN-BIR-01,2024-09-17,9,2.977777777777778
HHN-BIR-01,2024-09-18,8,2.675
HHN-BIR-01,2024-09-19,6,2.15
HHN-BIR-01,2024-09-20,9,2.8444444444444446
HHN-BIR-01,2024-09-23,7,2.7857142857142856
HHN-BIR-01,2024-09-24,7,2.6142857142857143
HHN-BIR-01,2024-09-25,11,2.4000000000000004
HHN-BIR-01,2024-09-26,12,2.5833333333333335
HHN-BIR-01,2024-09-27,5,1.5
HHN-BIR-01,2024-09-30,8,2.7125
HHN-BIR-01,2024-10-01,6,2.483333333333334
HHN-BIR-01,2024-10-02,11,3.2363636363636363
HHN-BIR-01,2024-10-03,9,2.2
HHN-BIR-01,2024-10-04,10,3.22
HHN-BIR-01,2024-10-07,9,3.5444444444444443
HHN-BIR-01,2024-10-08,10,2.52
HHN-BIR-01,2024-10-09,7,3.557142857142857
HHN-BIR-01,2024-10-10,11,2.8727272727272726
HHN-BIR-01,2024-10-11,9,2.8222222222222224
HHN-BIR-01,2024-10-14,14,1.7
HHN-BIR-01,2024-10-15,11,3.3545454545454545
HHN-BIR-01,2024-10-16,11,2.7636363636363637
HHN-BIR-01,2024-10-17,5,3.66
HHN-BIR-01,2024-10-18,5,2.58
HHN-BIR-01,2024-10-21,5,4.12
HHN-BIR-01,2024-10-22,10,3.5199999999999996
HHN-BIR-01,2024-10-23,14,2.2214285714285715
HHN-BIR-01,2024-10-24,7,3.6571428571428575
HHN-BIR-01,2024-10-25,11,2.8363636363636364
HHN-BIR-01,2024-10-28,6,2.35
HHN-BIR-01,2024-10-29,11,2.8
HHN-BIR-01,2024-10-30,10,2.39
HHN-BIR-01,2024-10-31,8,1.9375
HHN-BIR-01,2024-11-01,4,1.475
HHN-BIR-01,2024-11-04,8,3.425
HHN-BIR-01,2024-11-05,12,2.5416666666666665
HHN-BIR-01,2024-11-06,5,4.12
HHN-BIR-01,2024-11-07,7,2.0571428571428574
HHN-BIR-01,2024-11-08,4,2.975
HHN-BIR-01,2024-11-11,7,3.128571428571429
HHN-BIR-01,2024-11-12,8,3.9375
HHN-BIR-01,2024-11-13,11,2.4727272727272727
HHN-BIR-01,2024-11-14,10,3.16
HHN-BIR-01,2024-11-15,9,3.3666666666666667
HHN-BIR-01,2024-11-18,8,2.8
HHN-BIR-01,2024-11-19,5,2.8
HHN-BIR-01,2024-11-20,11,3.6363636363636362
HHN-BIR-01,2024-11-21,4,3.125
HHN-BIR-01,2024-11-22,4,2.45
HHN-BIR-01,2024-11-25,6,2.1666666666666665
HHN-BIR-01,2024-11-26,9,2.588888888888889
HHN-BIR-01,2024-11-27,11,2.8454545454545457
HHN-BIR-01,2024-11-28,10,2.18
HHN-BIR-01,2024-11-29,2,3.2
HHN-BIR-01,2024-12-02,10,3.4899999999999998
HHN-BIR-01,2024-12-03,8,2.8375
HHN-BIR-01,2024-12-04,8,3.075
HHN-BIR-01,2024-12-05,8,1.725
HHN-BIR-01,2024-12-06,7,1.7142857142857142
HHN-BIR-01,2024-12-09,6,3.1666666666666665
HHN-BIR-01,2024-12-10,9,2.6555555555555554
HHN-BIR-01,2024-12-11,8,2.3625
HHN-BIR-01,2024-12-12,8,3.0625
HHN-BIR-01,2024-12-13,6,2.8166666666666664
HHN-BIR-01,2024-12-16,5,2.7800000000000002
HHN-BIR-01,2024-12-17,13,2.784615384615385
HHN-BIR-01,2024-12-18,1,3.0
HHN-BIR-01,2024-12-19,3,2.6
HHN-BIR-01,2024-12-20,2,3.55
HHN-BIR-01,2024-12-23,3,2.8000000000000003
HHN-BIR-01,2024-12-24,2,1.9000000000000001
HHN-BIR-01,2024-12-27,5,3.6799999999999997
HHN-BIR-01,2024-12-30,2,0.2
HHN-BIR-01,2024-12-31,2,2.25
HHN-BIR-01,2025-01-02,4,5.8
HHN-BIR-01,2025-01-03,1,5.1
HHN-BIR-01,2025-01-06,5,2.02
HHN-BIR-01,2025-01-07,4,3.225
HHN-BIR-01,2025-01-08,6,2.4166666666666665
HHN-BIR-01,2025-01-09,8,2.5625
HHN-BIR-01,2025-01-10,4,2.6500000000000004
HHN-BIR-01,2025-01-13,12,2.316666666666667
HHN-BIR-01,2025-01-14,7,3.7857142857142856
HHN-BIR-01,2025-01-15,5,2.58
HHN-BIR-01,2025-01-16,11,2.8363636363636364
HHN-BIR-01,2025-01-17,8,3.2125
HHN-BIR-01,2025-01-20,12,2.658333333333333
HHN-BIR-01,2025-01-21,7,2.3714285714285714
HHN-BIR-01,2025-01-22,6,2.25
HHN-BIR-01,2025-01-23,7,3.914285714285714
HHN-BIR-01,2025-01-24,7,2.142857142857143
HHN-BIR-01,2025-01-27,8,1.625
HHN-BIR-01,2025-01-28,5,3.88
HHN-BIR-01,2025-01-29,7,2.314285714285714
HHN-BIR-01,2025-01-30,10,2.02
HHN-BIR-01,2025-01-31,9,2.3
HHN-BIR-01,2025-02-03,7,2.5
HHN-BIR-01,2025-02-04,13,3.4000000000000004
HHN-BIR-01,2025-02-05,11,2.227272727272727
HHN-BIR-01,2025-02-06,2,3.3499999999999996
HHN-BIR-01,2025-02-07,6,1.5999999999999999
HHN-BIR-01,2025-02-10,6,2.8666666666666667
HHN-BIR-01,2025-02-11,9,2.155555555555556
HHN-BIR-01,2025-02-12,3,2.3666666666666667
HHN-BIR-01,2025-02-13,14,2.757142857142857
HHN-BIR-01,2025-02-14,7,3.6142857142857143
HHN-BIR-01,2025-02-17,7,1.3571428571428572
HHN-BIR-01,2025-02-18,14,2.7214285714285715
HHN-BIR-01,2025-02-19,10,2.5300000000000002
HHN-BIR-01,2025-02-20,6,1.4333333333333333
HHN-BIR-01,2025-02-21,9,3.177777777777778
HHN-BIR-01,2025-02-24,12,3.4583333333333335
HHN-BIR-01,2025-02-25,4,2.575
HHN-BIR-01,2025-02-26,4,2.925
HHN-BIR-01,2025-02-27,8,3.2624999999999997
HHN-BIR-01,2025-02-28,6,3.65
HHN-BIR-01,2025-03-03,4,3.675
HHN-BIR-01,2025-03-04,9,3.888888888888889
HHN-BIR-01,2025-03-05,4,2.5250000000000004
HHN-BIR-01,2025-03-06,6,2.2333333333333334
HHN-BIR-01,2025-03-07,9,1.2000000000000002
HHN-BIR-01,2025-03-10,6,2.0500000000000003
HHN-BIR-01,2025-03-11,9,1.6888888888888889
HHN-BIR-01,2025-03-12,7,3.5
HHN-BIR-01,2025-03-13,6,2.283333333333333
HHN-BIR-01,2025-03-14,5,3.08
HHN-BIR-01,2025-03-17,7,2.5142857142857147
HHN-BIR-01,2025-03-18,6,3.516666666666667
HHN-BIR-01,2025-03-19,6,2.4833333333333334
HHN-BIR-01,2025-03-20,10,4.0600000000000005
HHN-BIR-01,2025-03-21,4,1.875
HHN-BIR-01,2025-03-24,9,2.7
HHN-BIR-01,2025-03-25,11,2.8045454545454547
HHN-BIR-01,2025-03-26,6,1.3499999999999999
HHN-BIR-01,2025-03-27,9,2.7444444444444445
HHN-BIR-01,2025-03-28,5,3.1399999999999997
HHN-BIR-01,2025-03-31,11,2.3954545454545455
HHN-BIR-01,2025-04-01,7,3.271428571428572
HHN-BIR-01,2025-04-02,13,2.4384615384615382
HHN-BIR-01,2025-04-03,6,2.1333333333333333
HHN-BIR-01,2025-04-04,5,2.7399999999999998
HHN-BIR-01,2025-04-07,8,1.85
HHN-BIR-01,2025-04-08,4,2.825
HHN-BIR-01,2025-04-09,5,2.2600000000000002
HHN-BIR-01,2025-04-10,12,2.9499999999999997
HHN-BIR-01,2025-04-11,7,3.4857142857142853
HHN-BIR-01,2025-04-14,9,3.477777777777778
HHN-BIR-01,2025-04-15,6,1.9666666666666668
HHN-BIR-01,2025-04-16,12,2.425
HHN-BIR-01,2025-04-17,5,4.12
HHN-BIR-01,2025-04-22,8,4.0
HHN-BIR-01,2025-04-23,12,1.8916666666666666
HHN-BIR-01,2025-04-24,11,3.727272727272727
HHN-BIR-01,2025-04-25,11,3.6545454545454548
HHN-BIR-01,2025-04-28,11,3.4181818181818184
HHN-BIR-01,2025-04-29,10,2.0100000000000002
HHN-BIR-01,2025-04-30,6,3.516666666666667
HHN-BIR-01,2025-05-01,13,3.353846153846154
HHN-BIR-01,2025-05-02,13,2.661538461538462
HHN-BIR-01,2025-05-06,11,1.8818181818181818
HHN-BIR-01,2025-05-07,10,2.94
HHN-BIR-01,2025-05-08,10,2.62
HHN-BIR-01,2025-05-09,8,1.8375
HHN-BIR-01,2025-05-12,7,2.5
HHN-BIR-01,2025-05-13,13,2.623076923076923
HHN-BIR-01,2025-05-14,7,2.1142857142857143
HHN-BIR-01,2025-05-15,7,4.214285714285714
HHN-BIR-01,2025-05-16,8,1.7000000000000002
HHN-BIR-01,2025-05-19,14,2.207142857142857
HHN-BIR-01,2025-05-20,8,2.3
HHN-BIR-01,2025-05-21,6,2.6333333333333333
HHN-BIR-01,2025-05-22,6,2.8333333333333335
HHN-BIR-01,2025-05-23,14,2.0571428571428574
HHN-BIR-01,2025-05-27,5,2.54
HHN-BIR-01,2025-05-28,7,2.442857142857143
HHN-BIR-01,2025-05-29,11,2.5636363636363635
HHN-BIR-01,2025-05-30,7,2.0714285714285716
HHN-BIR-01,2025-06-02,15,2.7666666666666666
HHN-BIR-01,2025-06-03,5,3.34
HHN-BIR-01,2025-06-04,7,2.814285714285714
HHN-BIR-01,2025-06-05,4,2.625
HHN-BIR-01,2025-06-06,8,3.0125
HHN-BIR-01,2025-06-09,11,3.036363636363636
HHN-BIR-01,2025-06-10,6,3.3833333333333333
HHN-BIR-01,2025-06-11,9,3.4333333333333336
HHN-BIR-01,2025-06-12,5,2.6
HHN-BIR-01,2025-06-13,7,2.9
HHN-BIR-01,2025-06-16,9,3.0
HHN-BIR-01,2025-06-17,8,3.575
HHN-BIR-01,2025-06-18,11,3.1
HHN-BIR-01,2025-06-19,11,2.9545454545454546
HHN-BIR-01,2025-06-20,8,2.4375
HHN-BIR-01,2025-06-23,12,2.608333333333333
HHN-BIR-01,2025-06-24,8,3.125
HHN-BIR-01,2025-06-25,11,2.7181818181818183
HHN-BIR-01,2025-06-26,13,1.6307692307692307
HHN-BIR-01,2025-06-27,5,3.5
HHN-BIR-01,2025-06-30,9,2.988888888888889
HHN-BIR-01,2025-07-01,7,2.5214285714285714
HHN-BIR-01,2025-07-02,10,2.2800000000000002
HHN-BIR-01,2025-07-03,12,2.591666666666667
HHN-BIR-01,2025-07-04,2,2.9
HHN-BIR-01,2025-07-07,18,2.561111111111111
HHN-BIR-01,2025-07-08,4,3.25
HHN-BIR-01,2025-07-09,11,2.7181818181818183
HHN-BIR-01,2025-07-10,5,3.46
HHN-BIR-01,2025-07-11,10,3.09
HHN-BIR-01,2025-07-14,10,3.3200000000000003
HHN-BIR-01,2025-07-15,9,2.7777777777777777
HHN-BIR-01,2025-07-16,11,2.9181818181818184
HHN-BIR-01,2025-07-17,9,2.855555555555556
HHN-BIR-01,2025-07-18,6,3.233333333333333
HHN-BIR-01,2025-07-21,7,2.3714285714285714
HHN-BIR-01,2025-07-22,5,3.3
HHN-BIR-01,2025-07-23,6,2.3833333333333333
HHN-BIR-01,2025-07-24,9,2.9
HHN-BIR-01,2025-07-25,10,2.6700000000000004
HHN-BIR-01,2025-07-28,10,3.16
HHN-BIR-01,2025-07-29,7,2.757142857142857
HHN-BIR-01,2025-07-30,9,3.1444444444444444
HHN-BIR-01,2025-07-31,20,2.75
HHN-BIR-01,2025-08-01,4,3.8
HHN-BIR-01,2025-08-04,5,1.6800000000000002
HHN-BIR-01,2025-08-05,3,4.666666666666667
HHN-BIR-01,2025-08-06,8,2.2625
HHN-BIR-01,2025-08-07,5,3.56
HHN-BIR-01,2025-08-08,3,2.1999999999999997
HHN-BIR-01,2025-08-11,5,3.08
HHN-BIR-01,2025-08-12,2,4.2
HHN-BIR-01,2025-08-13,8,2.1875
HHN-BIR-01,2025-08-14,3,2.9333333333333336
HHN-BIR-01,2025-08-15,5,3.4
HHN-BIR-01,2025-08-18,7,2.7142857142857144
HHN-BIR-01,2025-08-19,3,2.1666666666666665
HHN-BIR-01,2025-08-20,8,2.175
HHN-BIR-01,2025-08-21,5,2.54
HHN-BIR-01,2025-08-22,3,2.433333333333333
HHN-BIR-01,2025-08-26,4,2.65
HHN-BIR-01,2025-08-27,6,2.4833333333333334
HHN-BIR-01,2025-08-28,4,4.1
HHN-BIR-01,2025-08-29,2,3.8000000000000003
HHN-BIR-01,2025-09-01,12,2.158333333333333
HHN-BIR-01,2025-09-02,13,2.1538461538461537
HHN-BIR-01,2025-09-03,10,2.6399999999999997
HHN-BIR-01,2025-09-04,9,2.966666666666667
HHN-BIR-01,2025-09-05,11,2.5545454545454547
HHN-BIR-01,2025-09-08,8,2.025
HHN-BIR-01,2025-09-09,11,3.2363636363636363
HHN-BIR-01,2025-09-10,7,2.757142857142857
HHN-BIR-01,2025-09-11,12,2.558333333333333
HHN-BIR-01,2025-09-12,11,2.5727272727272728
HHN-BIR-01,2025-09-15,7,3.4
HHN-BIR-01,2025-09-16,8,2.6
HHN-BIR-01,2025-09-17,17,3.1411764705882352
HHN-BIR-01,2025-09-18,14,3.442857142857143
HHN-BIR-01,2025-09-19,5,2.88
HHN-BIR-01,2025-09-22,9,2.8666666666666667
HHN-BIR-01,2025-09-23,9,3.1333333333333333
HHN-BIR-01,2025-09-24,6,3.216666666666667
HHN-BIR-01,2025-09-25,17,2.341176470588235
HHN-BIR-01,2025-09-26,10,2.57
HHN-BIR-01,2025-09-29,9,2.6444444444444444
HHN-BIR-01,2025-09-30,10,2.7800000000000002
HHN-BIR-01,2025-10-01,12,2.5666666666666664
HHN-BIR-01,2025-10-02,5,3.12
HHN-BIR-01,2025-10-03,11,2.290909090909091
HHN-BIR-01,2025-10-06,3,2.733333333333333
HHN-BIR-01,2025-10-07,8,3.15
HHN-BIR-01,2025-10-08,7,2.685714285714286
HHN-BIR-01,2025-10-09,6,3.9000000000000004
HHN-BIR-01,2025-10-10,4,2.5
HHN-BIR-01,2025-10-13,4,3.425
HHN-BIR-01,2025-10-14,15,2.2266666666666666
HHN-BIR-01,2025-10-15,12,3.941666666666667
HHN-BIR-01,2025-10-16,9,3.677777777777778
HHN-BIR-01,2025-10-17,7,3.357142857142857
HHN-BIR-01,2025-10-20,11,3.4818181818181815
HHN-BIR-01,2025-10-21,11,2.8363636363636364
HHN-BIR-01,2025-10-22,12,2.6666666666666665
HHN-BIR-01,2025-10-23,7,2.5285714285714285
HHN-BIR-01,2025-10-24,8,2.375
HHN-BIR-01,2025-10-27,7,2.8857142857142857
HHN-BIR-01,2025-10-28,6,4.066666666666666
HHN-BIR-01,2025-10-29,14,2.7285714285714286
HHN-BIR-01,2025-10-30,5,2.96
HHN-BIR-01,2025-10-31,8,2.0125
HHN-BIR-01,2025-11-03,16,2.79375
HHN-BIR-01,2025-11-04,11,2.1999999999999997
HHN-BIR-01,2025-11-05,3,1.9666666666666668
HHN-BIR-01,2025-11-06,5,3.9
HHN-BIR-01,2025-11-07,11,2.8545454545454545
HHN-BIR-01,2025-11-10,9,2.411111111111111
HHN-BIR-01,2025-11-11,5,3.2199999999999998
HHN-BIR-01,2025-11-12,8,2.5
HHN-BIR-01,2025-11-13,10,3.6799999999999997
HHN-BIR-01,2025-11-14,6,2.8166666666666664
HHN-BIR-01,2025-11-17,5,2.94
HHN-BIR-01,2025-11-18,8,3.45
HHN-BIR-01,2025-11-19,11,2.190909090909091
HHN-BIR-01,2025-11-20,13,2.4076923076923076
HHN-BIR-01,2025-11-21,7,3.8428571428571425
HHN-BIR-01,2025-11-24,11,2.2181818181818183
HHN-BIR-01,2025-11-25,3,3.4000000000000004
HHN-BIR-01,2025-11-26,11,2.4727272727272727
HHN-BIR-01,2025-11-27,7,2.542857142857143
HHN-BIR-01,2025-11-28,7,3.8857142857142857
HHN-BIR-01,2025-12-01,8,3.475
HHN-BIR-01,2025-12-02,9,2.8333333333333335
HHN-BIR-01,2025-12-03,6,1.7833333333333332
HHN-BIR-01,2025-12-04,6,3.6833333333333336
HHN-BIR-01,2025-12-05,7,3.042857142857143
HHN-BIR-01,2025-12-08,11,2.4363636363636365
HHN-BIR-01,2025-12-09,7,3.9714285714285715
HHN-BIR-01,2025-12-10,10,1.9300000000000002
HHN-BIR-01,2025-12-11,6,2.8166666666666664
HHN-BIR-01,2025-12-12,2,2.35
HHN-BIR-01,2025-12-15,7,3.1714285714285717
HHN-BIR-01,2025-12-16,8,3.275
HHN-BIR-01,2025-12-17,14,3.0142857142857147
HHN-BIR-01,2025-12-18,7,3.1571428571428575
HHN-BIR-01,2025-12-19,1,3.3
HHN-BIR-01,2025-12-22,2,3.4499999999999997
HHN-BIR-01,2025-12-23,1,4.0
HHN-BIR-01,2025-12-24,2,6.050000000000001
HHN-BIR-01,2025-12-30,2,2.025
HHN-BIR-01,2025-12-31,6,3.6833333333333336
HHN-EDI-01,2024-01-02,4,2.95
HHN-EDI-01,2024-01-03,7,2.4857142857142853
HHN-EDI-01,2024-01-04,3,3.966666666666667
HHN-EDI-01,2024-01-05,1,4.3
HHN-EDI-01,2024-01-08,5,2.6399999999999997
HHN-EDI-01,2024-01-09,8,2.875
HHN-EDI-01,2024-01-10,2,2.4
HHN-EDI-01,2024-01-11,2,1.05
HHN-EDI-01,2024-01-12,3,2.3000000000000003
HHN-EDI-01,2024-01-15,1,0.2
HHN-EDI-01,2024-01-16,1,1.8
HHN-EDI-01,2024-01-17,3,3.5333333333333337
HHN-EDI-01,2024-01-18,4,3.0
HHN-EDI-01,2024-01-19,1,3.6
HHN-EDI-01,2024-01-22,5,1.7
HHN-EDI-01,2024-01-23,1,3.2
HHN-EDI-01,2024-01-24,3,3.6
HHN-EDI-01,2024-01-25,1,3.8
HHN-EDI-01,2024-01-26,3,4.1000000000000005
HHN-EDI-01,2024-01-29,7,4.128571428571428
HHN-EDI-01,2024-01-30,8,1.8499999999999999
HHN-EDI-01,2024-01-31,5,2.2399999999999998
HHN-EDI-01,2024-02-01,5,3.7600000000000002
HHN-EDI-01,2024-02-02,1,4.4
HHN-EDI-01,2024-02-05,1,4.7
HHN-EDI-01,2024-02-06,6,3.15
HHN-EDI-01,2024-02-07,4,1.2
HHN-EDI-01,2024-02-08,4,3.0250000000000004
HHN-EDI-01,2024-02-09,4,2.05
HHN-EDI-01,2024-02-12,5,3.44
HHN-EDI-01,2024-02-13,7,2.9857142857142853
HHN-EDI-01,2024-02-14,3,4.7
