Model,Unit,MAE,RMSE,MAPE
SARIMA,HHN-MAN-01_Day Case Unit,0.31364366380668635,0.36864209806266934,1.1731109888991582
SARIMA,HHN-BIR-01_Orthopaedics Ward B,0.432865458883081,0.5669283716420809,0.04483574367739388
SARIMA,HHN-LON-02_Orthopaedics Ward B,0.44342712494680087,0.5458921025126819,0.03999088327111079
SARIMA,HHN-LON-02_Orthopaedics Ward A,0.4767672051410902,0.5396255374115155,0.04050992914342257
SARIMA,HHN-MAN-01_General Medicine Ward B,0.5492898962723599,0.8999322707804792,0.028672981242882537
SARIMA,HHN-BIR-01_Orthopaedics Ward A,0.5587196291993387,0.6281552048650778,0.05115773973391401
SARIMA,HHN-MAN-01_ICU,0.7287799608036796,0.7993614183987348,0.07422818412925529
SARIMA,HHN-LON-02_Cardiology Ward,0.8431110599616203,0.951659048515941,0.04730069308377074
SARIMA,HHN-EDI-01_Orthopaedics Ward B,0.8773255501083543,0.9568097648992373,0.08895814284144968
SARIMA,HHN-BIR-01_ICU,0.8903326232880794,0.9872882848383128,0.10087005541982709
SARIMA,HHN-EDI-01_ICU,0.9834176603607823,1.0102351435701222,0.12827479771958636
SARIMA,HHN-LON-02_ICU,1.0908724675908117,1.331298978719485,0.12007970000755457
SARIMA,HHN-MAN-01_Orthopaedics Ward B,1.2079317387588746,1.5658968799418187,0.0618914308687627
SARIMA,HHN-EDI-01_Oncology Ward,1.2087325084220344,1.3758003743699374,0.10255785533722453
SARIMA,HHN-EDI-01_Orthopaedics Ward A,1.258544964765878,1.373541557589652,0.12743503443125734
SARIMA,HHN-LON-02_General Medicine Ward A,1.4448856175826799,1.4963383518047069,0.08123185290880197
SARIMA,HHN-MAN-01_Cardiology Ward,1.5482992142530771,1.8120867166917685,0.06672951129482142
SARIMA,HHN-BIR-01_General Medicine Ward A,1.5802610609358942,1.6402928596216617,0.09978549656520697
SARIMA,HHN-BIR-01_General Medicine Ward B,1.782387512701484,2.1456393937090774,0.14194034769562153
SARIMA,HHN-LON-02_General Medicine Ward B,1.9277014375641486,1.954352740789507,0.10806375178551463
SARIMA,HHN-MAN-01_Oncology Ward,2.0005824450929652,2.306942364601748,0.11328635961248724
SARIMA,HHN-EDI-01_Cardiology Ward,2.0741064584694278,2.388873584016674,0.1412003665467188
SARIMA,HHN-BIR-01_Cardiology Ward,2.1493137491683787,2.8662347769542524,0.13236358654555275
SARIMA,HHN-MAN-01_Orthopaedics Ward A,2.220376756689324,2.8707966869783195,0.12382706504473874
SARIMA,HHN-MAN-01_General Medicine Ward A,2.421713166488672,2.8118228472015545,0.11922991891976782
SARIMA,HHN-LON-01_General Medicine Ward B,2.4599419834987706,2.753852063783396,0.08117079775401861
SARIMA,HHN-EDI-01_General Medicine Ward B,2.9118098232502154,3.216662295114915,0.18098442713122578
SARIMA,HHN-LON-01_Orthopaedics Ward B,3.011100337090678,3.590733668265121,0.12274395012156657
SARIMA,HHN-LON-01_Oncology Ward,3.137796728134883,3.601633593033083,0.14250875040372618
SARIMA,HHN-LON-01_ICU,3.161163527417436,3.222071572983535,0.17730822976671218
SARIMA,HHN-BIR-01_Oncology Ward,3.2921013913003327,3.3794212000833905,0.3183039226809506
SARIMA,HHN-LON-01_General Medicine Ward A,3.56768564603767,3.7948195937699367,0.10338855191094955
SARIMA,HHN-LON-01_Orthopaedics Ward A,4.308151462969108,4.56130818413158,0.1855059698982209
SARIMA,HHN-EDI-01_General Medicine Ward A,4.4081314140603896,4.68713951735535,0.2624621980693229
SARIMA,HHN-LON-02_Oncology Ward,6.612899451924228,7.497345254757958,0.3919276867490499
SARIMA,HHN-LON-01_Cardiology Ward,7.099187241070638,7.910262979640083,0.19670092145386214
